Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
14,Steve Sarkisian,Texas," $5,450,000 ",Big 12,"$5,450,000 ",$0*,"$5,450,000 ",$0*,"$20,603,333 ",,14,Dan Lanning,Georgia,"$1,254,500 ",SEC,"$1,250,000 ",$0 ,"$1,250,000 ",$0 ,—,,14,Paul Jackson,South Carolina,"$438,450 ",SEC,"$450,000 ","$11,550 ","$438,450 ","$23,100 ",—,,Oklahoma,9/2/2000,81.80%,21.3,4.1
15,Mark Stoops,Kentucky," $5,263,600 ",SEC,"$5,250,000 ",$0 ,"$5,250,000 ",$0 ,"$19,921,875 ",,15,Pete Golding,Alabama,"$1,225,000 ",SEC,"$1,225,000 ",$0 ,"$1,225,000 ",$0 ,—,,15,Bennie Wylie,Oklahoma,"$430,000 ",Big 12,"$430,000 ",$0 ,"$430,000 ",$0 ,—,,Georgia,8/2/2000,80.00%,12.3,-0.9
16,Kyle Whittingham,Utah," $5,200,000 ",Pac-12,"$5,200,000 ",$0*,"$5,200,000 ","$365,822*","$18,250,000 ",,16,Travaris Robinson,South Carolina,"$1,180,750 ",SEC,"$1,200,000 ","$19,250 ","$1,180,750 ","$38,500 ",—,,16,Aaron Wellman,Indiana,"$423,077 ",Big Ten,"$440,000 ","$16,923 ","$423,077 ","$16,923 ",—,,Nevada,7/2/2000,77.80%,7.4,0.9
17,Scott Frost,Nebraska," $5,000,000 ",Big Ten,"$5,000,000 ",$0*,"$5,000,000 ","$166,667*","$20,416,667 ",,17,Mike Bobo,South Carolina,"$1,180,750 ",SEC,"$1,200,000 ","$19,250 ","$1,180,750 ","$38,500 ",—,,17,Dave Andrews,Iowa State,"$423,000 ",Big 12,"$470,000 ","$47,000 ","$423,000 ","$47,000 ",—,,Northwestern,7/2/2000,77.80%,8.8,5.6
18,Kirk Ferentz,Iowa," $5,000,000 ",Big Ten,"$5,000,000 ",$0*,"$5,000,000 ","$100,000*","$16,503,333 ",,18,Kevin Wilson,Ohio State,"$1,180,000 ",Big Ten,"$1,200,000 ","$20,000 ","$1,180,000 ","$45,000 ",—,,18,Lou Hernandez,Illinois,"$394,000 ",Big Ten,"$400,000 ","$6,000 ","$394,000 ","$36,000 ",—,,App State,9/3/2000,75.00%,13.8,-1.2
19,Bryan Harsin,Auburn," $5,000,000 ",SEC,"$5,000,000 ",$0 ,"$5,000,000 ",$0 ,"$17,791,667 ",,19,Greg Mattison,Ohio State,"$1,114,117 ",Big Ten,"$1,133,000 ","$18,883 ","$1,114,117 ","$18,883 ",—,,19,Tim Socha,Washington,"$393,008 ",Pac-12,"$400,008 ","$7,000 ","$393,008 ","$12,000 ",—,,Iowa State,9/3/2000,75.00%,11.5,4.9
20,Mike Leach,Mississippi State," $5,000,000 ",SEC,"$5,000,000 ",$0*,"$5,000,000 ",$0*,—,,20,Larry Johnson,Ohio State,"$1,114,117 ",Big Ten,"$1,133,000 ","$18,883 ","$1,114,117 ","$42,487 ",—,,20,Zac Woodfin,Missouri,"$390,000 ",SEC,"$400,000 ","$10,000 ","$390,000 ","$10,000 ",—,,Washington,3/1/2000,75.00%,5.2,-6.4
21,Lane Kiffin,Mississippi," $4,841,937 ",SEC,"$5,000,000 ","$158,063*","$4,841,937 ","$293,813*",—,,21,Todd Monken,Georgia,"$1,100,000 ",SEC,"$1,100,000 ",$0 ,"$1,100,000 ",$0 ,—,,21,Zach Duval,Nebraska,"$386,667 ",Big Ten,"$400,000 ","$13,333 ","$386,667 ","$13,333 ",—,,Indiana,6/2/2000,75.00%,8.6,9.4
22,Pat Narduzzi,Pittsburgh," $4,816,806 ",ACC,"$4,816,806 ",—,"$4,816,806 ",—,—,,22,Jim Leonhard,Wisconsin,"$1,039,074 ",Big Ten,"$1,128,534 ","$89,460 ","$1,039,074 ","$89,460 ",—,,22,Dan Nichol,Minnesota,"$375,385 ",Big Ten,"$400,000 ","$24,615 ","$375,385 ","$40,000 ",—,,Kent State,3/1/2000,75.00%,11.8,1
23,Clay Helton,Southern California," $4,813,832 ",Pac-12,"$4,813,832 ",—,"$4,813,832 ",—,—,,23,Sonny Cumbie,Texas Christian,"$1,020,465 ",Big 12,—,—,—,—,—,,23,Mike Sirignano,Louisville,"$375,000 ",ACC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,Iowa,6/2/2000,75.00%,15.8,11.3
