Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
60,Brian Kelly,Notre Dame," $2,670,213 ",INDEP,"$2,670,213 ",—,"$2,670,213 ",—,—,,60,Dwayne Ledford,Louisville,"$750,000 ",ACC,"$750,000 ",$0 ,"$750,000 ",$0 ,—,,60,James Dobson,Vanderbilt,—,SEC,—,—,—,—,—,,Mississippi,5/5/2000,50.00%,0.9,2.5
61,Mike Locksley,Maryland," $2,538,100 ",Big Ten,"$2,715,100 ","$177,000*","$2,538,100 ","$265,500*","$6,138,426 ",,61,Bryan Brown,Louisville,"$750,000 ",ACC,"$750,000 ",$0 ,"$750,000 ",$0 ,—,,61,Dwight Galt,Penn State,—,Big Ten,—,—,—,—,—,,Air Force,3/3/2000,50.00%,9.3,7.3
62,Jonathan Smith,Oregon State," $2,444,000 ",Pac-12,"$2,500,000 ","$56,000*","$2,444,000 ","$168,000*","$5,812,500 ",,62,Joe Rudolph,Wisconsin,"$739,477 ",Big Ten,"$820,200 ","$81,023 ","$739,177 ","$81,023 ",—,,62,Ben Hilgart,Virginia Tech,—,ACC,"$280,000 ",—,—,—,—,,Fresno St,3/3/2000,50.00%,2.8,-2.3
63,Gus Malzahn,Central Florida," $2,320,000 ",AAC,"$2,320,000 ",$0*,"$2,320,000 ",$0*,"$10,350,000 ",,63,Chris Ash,Texas,"$735,104 ",Big 12,"$800,000 ","$64,896 ","$735,104 ","$111,250 ",—,,63,Phil Matusz,Boston College,—,ACC,—,—,—,—,—,,LSU,5/5/2000,50.00%,-2.9,-1.4
64,Ken Niumatalolo,Navy," $2,316,000 ",AAC,"$2,316,000 ",—,"$2,316,000 ",—,—,,64,Chad Morris,Auburn,"$735,000 ",SEC,"$735,000 ",$0 ,"$735,000 ",$0 ,—,,64,Jay Hooten,Northwestern,—,Big Ten,—,—,—,—,—,,Arizona St,2/2/2000,50.00%,17,15.4
65,Jeff Scott,South Florida," $2,220,000 ",AAC,"$2,400,000 ","$180,000*","$2,220,000 ","$247,500*",—,,65,Peter Sirmon,California,"$728,334 ",Pac-12,"$750,000 ","$21,666 ","$728,334 ","$21,666 ",—,,65,Sean Edinger,Syracuse,—,ACC,—,—,—,—,—,,Missouri,5/5/2000,50.00%,-5.6,0.5
66,Rod Carey,Temple," $2,099,908 ",AAC,"$2,099,908 ",—,"$2,099,908 ",—,—,,66,Jeff Banks,Alabama,"$725,000 ",SEC,"$725,000 ",$0 ,"$725,000 ",$0 ,—,,,,,,,,,,,,,Central Mich,3/3/2000,50.00%,1.2,1.8
67,Billy Napier,UL Lafayette," $2,000,000 ",S-Belt,"$2,000,000 ",$0 ,"$2,000,000 ",$0 ,"$4,900,000 ",,67,Ed Warinner,Michigan,"$725,000 ",Big Ten,"$725,000 ",$0 ,"$725,000 ",$0 ,—,,,,,,,,,,,,,Tulane,6/6/2000,50.00%,6.6,6.7
68,Willie Fritz,Tulane," $1,939,000 ",AAC,"$1,939,000 ",—,"$1,939,000 ",—,—,,68,Dameyune Craig,Texas A&M,"$700,000 ",SEC,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,Troy,5/6/2000,45.50%,1.6,0.2
69,Seth Littrell,North Texas," $1,900,000 ",CUSA,"$1,900,000 ",$0*,"$1,900,000 ",$0*,"$2,925,000 ",,69,Freddie Roach,Alabama,"$700,000 ",SEC,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,VA Tech,5/6/2000,45.50%,-1,-5.4
70,Philip Montgomery,Tulsa," $1,798,643 ",AAC,"$1,798,643 ",—,"$1,798,643 ",—,—,,70,Antonio Pierce,Arizona State,"$700,000 ",Pac-12,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,Kentucky,5/6/2000,45.50%,-4.1,-0.4
71,Bill Clark,UAB," $1,653,000 ",CUSA,"$1,550,000 ",$0 ,"$1,550,000 ",$0 ,"$7,591,667 ",,71,Jay Boulware,Texas,"$700,000 ",Big 12,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,Wake Forest,4/5/2000,44.40%,3.2,5.2
72,Ryan Silverfield,Memphis," $1,623,331 ",AAC,"$1,800,000 ","$176,669*","$1,623,331 ","$235,559*","$4,710,000 ",,72,Jerry Azzinaro,UCLA,"$700,000 ",Pac-12,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,Penn State,4/5/2000,44.40%,2.1,-5.7
73,Craig Bohl,Wyoming," $1,594,508 ",MWC,"$1,612,000 ","$17,492*","$1,594,508 ","$69,960*","$5,079,408 ",,73,Justin Frye,UCLA,"$700,000 ",Pac-12,"$700,000 ",$0 ,"$700,000 ",$0 ,—,,,,,,,,,,,,,Minnesota,3/4/2000,42.90%,-2.9,-2.6
74,Steve Addazio,Colorado State," $1,550,000 ",MWC,"$1,550,000 ",$0 ,"$1,550,000 ",$0 ,"$5,000,000 ",,74,Mike Tressel,Michigan State,"$695,748 ",Big Ten,"$723,000 ","$27,252 ","$695,748 ","$46,717 ",—,,,,,,,,,,,,,UCLA,3/4/2000,42.90%,4.7,5.8
75,Mike Houston,East Carolina," $1,535,667 ",AAC,"$1,593,000 ","$58,333 ","$1,534,667 ","$93,210 ","$1,000,000 ",,75,D.J. Eliot,Kansas,"$691,056 ",Big 12,"$700,000 ","$8,944 ","$691,056 ","$80,500 ",—,,,,,,,,,,,,,W Kentucky,5/7/2000,41.70%,-6.3,-4.3
76,Brent Brennan,San Jose State," $1,500,000 ",MWC,"$1,500,000 ",$0 ,"$1,500,000 ",$0 ,"$5,725,000 ",,76,Greg Studrawa,Ohio State,"$688,333 ",Big Ten,"$700,000 ","$11,667 ","$688,333 ","$26,250 ",—,,,,,,,,,,,,,Rice,2/3/2000,40.00%,4.6,10.4
77,Andy Avalos,Boise State," $1,500,000 ",MWC,"$1,500,000 ",$0 ,"$1,500,000 ",$0 ,"$5,109,808 ",,77,Scott Huff,Washington,"$687,758 ",Pac-12,"$700,008 ","$12,250 ","$687,758 ","$21,000 ",—,,,,,,,,,,,,,Kansas St,4/6/2000,40.00%,-5.6,-0.6
78,Marcus Arroyo,UNLV," $1,500,000 ",MWC,"$1,500,000 ",$0 ,"$1,500,000 ",$0 ,"$3,618,750 ",,78,Eric Wolford,South Carolina,"$684,600 ",SEC,"$700,000 ","$15,400 ","$684,600 ","$30,800 ",—,,,,,,,,,,,,,North Texas,4/6/2000,40.00%,-8.4,-7.5
79,Kalen DeBoer,Fresno State," $1,350,000 ",MWC,"$1,350,000 ",$0 ,"$1,350,000 ",$0 ,"$3,450,000 ",,79,DJ Durkin,Mississippi,"$682,500 ",SEC,"$700,000 ","$17,500 ","$682,500 ","$17,500 ",—,,,,,,,,,,,,,Texas Tech,4/6/2000,40.00%,-7.6,-7.3
80,Sonny Dykes,Southern Methodist," $1,307,094 ",AAC,"$1,307,094 ",—,"$1,307,094 ",—,—,,80,Jeff Lebby,Mississippi,"$682,500 ",SEC,"$700,000 ","$17,500 ","$682,500 ","$17,500 ",—,,,,,,,,,,,,,Maryland,2/3/2000,40.00%,-8.4,4.9
81,Randy Edsall,Connecticut," $1,256,000 ",INDEP,"$1,256,000 ",$0*,"$1,256,000 ",$0*,—,,81,Dell McGee,Georgia,"$676,500 ",SEC,"$675,000 ",$0 ,"$675,000 ",$0 ,—,,,,,,,,,,,,,TX El Paso,3/5/2000,37.50%,-8,3.6
82,Jason Candle,Toledo," $1,177,350 ",MAC,"$1,200,000 ","$25,000*","$1,175,000 ","$75,000*","$1,458,333 ",,82,Vic Koenning,West Virginia,"$676,000 ",Big 12,"$676,000 ",$0 ,"$676,000 ",$0 ,—,,,,,,,,,,,,,Nebraska,3/5/2000,37.50%,-6.2,-4.2
83,Hugh Freeze,Liberty," $1,138,306 ",INDEP,"$1,138,306 ",—,"$1,138,306 ",—,—,,83,Sal Sunseri,Alabama,"$675,000 ",SEC,"$675,000 ",$0 ,"$675,000 ",$0 ,—,,,,,,,,,,,,,Houston,3/5/2000,37.50%,-2,-5.8
84,Butch Davis,Florida International," $1,093,956 ",CUSA,"$1,093,956 ",$0 ,"$1,093,956 ",$0 ,"$45,582 ",,84,Robb Smith,Rutgers,"$675,000 ",Big Ten,"$675,000 ",$0 ,"$675,000 ",$0 ,—,,,,,,,,,,,,,Arkansas St,4/7/2000,36.40%,-4.3,-4.2
85,Brady Hoke,San Diego State," $1,050,000 ",MWC,"$1,050,000 ",$0 ,"$1,050,000 ",$0 ,"$5,312,500 ",,85,Chris Kapilovic,Michigan State,"$671,417 ",Big Ten,"$700,000 ","$28,583 ","$671,417 ","$49,000 ",—,,,,,,,,,,,,,Louisville,4/7/2000,36.40%,2.9,1.7
86,Blake Anderson,Utah State," $1,000,000 ",MWC,"$1,000,000 ",$0*,"$1,000,000 ",$0*,"$3,250,000 ",,86,Brian Lindgren,Oregon State,"$667,994 ",Pac-12,"$700,008 ","$32,014 ","$667,994 ","$48,021 ",—,,,,,,,,,,,,,Miss State,4/7/2000,36.40%,-6.7,-1.5
87,Mike Bloomgren,Rice," $934,171 ",CUSA,"$934,171 ",—,"$934,171 ",—,—,,87,Paul Rhoads,Arizona,"$667,917 ",Pac-12,"$750,000 ","$82,083 ","$667,917 ","$82,083 ",—,,,,,,,,,,,,,S Alabama,4/7/2000,36.40%,-7.4,-1.7
88,Rick Stockstill,Middle Tennessee," $910,504 ",CUSA,"$901,504 ",$0 ,"$901,504 ",$0 ,"$4,998,699 ",,88,Tony Gibson,NC State,"$662,083 ",ACC,"$700,000 ","$37,917 ","$662,083 ","$96,250 ",—,,,,,,,,,,,,,Middle Tenn,3/6/2000,33.30%,-12.6,-5.9
89,Jamey Chadwell,Coastal Carolina," $871,250 ",S-Belt,"$871,250 ",$0*,"$871,250 ","$13,410*","$2,650,052 ",,89,Jon Sumrall,Kentucky,"$650,900 ",SEC,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,E Michigan,2/4/2000,33.30%,-2.8,2.8
90,Jim McElwain,Central Michigan," $840,000 ",MAC,"$840,000 ",$0*,"$840,000 ","$6,000*","$2,000,000 ",,90,Jimmy Brumbaugh,Tennessee,"$650,000 ",SEC,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,Florida St,3/6/2000,33.30%,-10.2,-7.7
91,Jeff Traylor,Texas-San Antonio," $830,000 ",CUSA,"$830,000 ",$0*,"$830,000 ","$57,500*","$2,867,183 ",,91,Bill Musgrave,California,"$650,000 ",Pac-12,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,Michigan,2/4/2000,33.30%,-6.2,-11.9
92,Butch Jones,Arkansas State," $825,000 ",S-Belt,"$825,000 ",$0 ,"$825,000 ",$0 ,"$2,041,667 ",,92,Kyle Flood,Alabama,"$650,000 ",SEC,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,Purdue,2/4/2000,33.30%,-2.7,-5.8
93,Todd Graham,Hawaii," $800,000 ",MWC,"$800,000 ",$0*,"$800,000 ",$0*,"$1,310,429 ",,93,Stanley Drayton,Texas,"$650,000 ",Big 12,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,E Carolina,3/6/2000,33.30%,-5.2,4.6
94,Will Hall,Southern Mississippi," $800,000 ",CUSA,"$800,000 ",$0 ,"$800,000 ",$0 ,"$2,466,667 ",,94,Rodney Garner,Auburn,"$650,000 ",SEC,"$650,000 ",$0 ,"$650,000 ",$0 ,—,,,,,,,,,,,,,Wyoming,2/4/2000,33.30%,5.5,1.2
95,Jake Spavital,Texas State," $800,000 ",S-Belt,"$800,000 ",$0 ,"$800,000 ",$0 ,"$796,712 ",,95,Jon Hoke,Maryland,"$645,525 ",Big Ten,"$679,500 ","$33,975 ","$645,525 ","$69,200 ",—,,,,,,,,,,,,,Rutgers,3/6/2000,33.30%,-5.4,5.6
96,Will Healy,Charlotte," $793,901 ",CUSA,"$805,000 ","$11,099*","$793,901 ","$19,423*","$2,104,167 ",,96,James Cregg,Louisiana State,"$644,125 ",SEC,"$650,000 ","$8,125 ","$641,875 ","$34,375 ",—,,,,,,,,,,,,,Charlotte,2/4/2000,33.30%,-5.5,-4.1
97,Shawn Elliott,Georgia State," $779,000 ",S-Belt,"$779,000 ",$0 ,"$779,000 ",$0 ,"$1,500,000 ",,97,Herb Hand,Texas,"$643,854 ",Big 12,"$700,000 ","$56,146 ","$643,854 ","$96,250 ",—,,,,,,,,,,,,,S Mississippi,3/7/2000,30.00%,-7,-6
98,Skip Holtz,Louisiana Tech," $779,000 ",CUSA,"$775,000 ",$0 ,"$775,000 ",$0 ,"$3,002,083 ",,98,Tim Beck,NC State,"$638,750 ",ACC,"$700,000 ","$61,250 ","$638,750 ","$96,250 ",—,,,,,,,,,,,,,Navy,3/7/2000,30.00%,-13.7,-7.7
99,Shawn Clark,Appalachian State," $775,000 ",S-Belt,"$775,000 ",$0*,"$775,000 ",$0*,"$3,000,000 ",,99,Billy Gonzales,Florida,"$631,500 ",SEC,"$631,500 ",$0 ,"$631,500 ",$0 ,—,,,,,,,,,,,,,Arkansas,3/7/2000,30.00%,-9.2,3.4
100,Willie Taggart,Florida Atlantic," $775,000 ",CUSA,"$775,000 ",$0*,"$775,000 ",$0*,"$2,250,000 ",,100,John Hevesy,Florida,"$631,500 ",SEC,"$631,500 ",$0 ,"$631,500 ",$0 ,—,,,,,,,,,,,,,GA Tech,3/7/2000,30.00%,-12.9,-4.2
101,Ricky Rahne,Old Dominion," $762,296 ",CUSA,"$762,296 ",$0 ,"$762,296 ",$0 ,"$2,334,532 ",,101,Brad Davis,Arkansas,"$625,000 ",SEC,"$650,000 ","$25,000 ","$625,000 ","$45,833 ",—,,,,,,,,,,,,,Tennessee,3/7/2000,30.00%,-8.6,-4.8
102,Charles Huff,Marshall," $755,500 ",CUSA,"$755,500 ",$0 ,"$755,500 ",$0 ,"$2,392,417 ",,102,Ken O'Keefe,Iowa,"$616,500 ",Big Ten,"$685,000 ","$68,500 ","$616,500 ","$68,500 ",—,,,,,,,,,,,,,New Mexico,2/5/2000,28.60%,-8.7,2.4
103,Tyson Helton,Western Kentucky," $751,470 ",CUSA,"$800,004 ","$53,334*","$746,670 ","$153,334*","$600,000 ",,103,Kenny Dillingham,Florida State,"$615,625 ",ACC,"$625,000 ","$9,375 ","$615,625 ","$18,750 ",—,,,,,,,,,,,,,Michigan St,2/5/2000,28.60%,-17.1,-6.4
104,Chip Lindsey,Troy," $750,000 ",S-Belt,"$750,000 ",$0 ,"$750,000 ",$0 ,"$670,000 ",,104,Robbie Caldwell,Clemson,"$610,500 ",ACC,"$640,000 ","$32,000 ","$608,000 ","$64,000 ",—,,,,,,,,,,,,,Oregon St,2/5/2000,28.60%,-4.4,2.5
105,Dana Dimel,Texas El Paso," $748,966 ",CUSA,"$786,999 ","$41,533*","$745,466 ","$71,200*","$830,666 ",,105,Brick Haley,Missouri,"$609,375 ",SEC,"$625,000 ","$15,625 ","$609,375 ","$15,625 ",—,,,,,,,,,,,,,Wash State,1/3/2000,25.00%,-11.5,-2.5
106,Tim Lester,Western Michigan," $709,700 ",MAC,"$800,000 ","$100,000*","$700,000 ","$200,000*","$400,000 ",,106,Chris Partridge,Mississippi,"$609,375 ",SEC,"$625,000 ","$15,625 ","$609,375 ","$15,625 ",—,,,,,,,,,,,,,Illinois,2/6/2000,25.00%,-14.8,-1.9
107,Kane Wommack,South Alabama," $700,000 ",S-Belt,"$700,000 ",$0 ,"$700,000 ",$0 ,"$2,151,563 ",,107,Robert Anae,Virginia,"$608,021 ",ACC,"$650,000 ","$41,979 ","$608,021 ","$41,979 ",—,,,,,,,,,,,,,Colorado St,1/3/2000,25.00%,-13.5,-8
108,Danny Gonzales,New Mexico," $700,000 ",MWC,"$700,000 ",$0 ,"$700,000 ",$0 ,"$1,600,000 ",,108,Joe Salave'a,Oregon,"$608,021 ",Pac-12,"$650,000 ","$41,979 ","$608,021 ","$41,979 ",—,,,,,,,,,,,,,California,1/3/2000,25.00%,-6.2,-5.1
109,Chad Lunsford,Georgia Southern," $680,000 ",S-Belt,"$680,000 ",$0*,"$680,000 ",$0*,—,,109,Nick Howell,Virginia,"$608,021 ",ACC,"$650,000 ","$41,979 ","$608,021 ","$41,979 ",—,,,,,,,,,,,,,Baylor,2/7/2000,22.20%,-5.9,-2.1
110,Maurice Linguist,Buffalo," $675,000 ",MAC,"$675,000 ",$0 ,"$675,000 ",$0 ,"$1,939,583 ",,110,Tony Alford,Ohio State,"$607,700 ",Big Ten,"$618,000 ","$10,300 ","$607,700 ","$10,300 ",—,,,,,,,,,,,,,S Carolina,2/8/2000,20.00%,-12.5,-5.3
111,Thomas Hammock,Northern Illinois," $630,609 ",MAC,"$630,609 ",$0*,"$630,609 ","$52,020*","$1,408,308 ",,111,Glenn Schumann,Georgia,"$604,500 ",SEC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Duke,2/9/2000,18.20%,-13.3,-8.7
112,Walt Bell,Massachusetts," $628,750 ",INDEP,"$660,000 ","$31,250*","$628,750 ","$62,500*","$939,212 ",,112,Tray Scott,Georgia,"$602,500 ",SEC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Texas State,2/10/2000,16.70%,-10.5,1.9
113,Jay Norvell,Nevada," $619,250 ",MWC,"$625,000 ","$5,750*","$619,250 ","$6,900*","$1,979,167 ",,113,Charlton Warren,Georgia,"$601,500 ",SEC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Utah State,1/5/2000,16.70%,-19.7,-7.5
114,Chuck Martin,Miami (Ohio)," $541,667 ",MAC,"$560,000 ","$18,333*","$541,667 ","$55,000*","$1,250,000 ",,114,Brent Key,Georgia Tech,"$600,000 ",ACC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Akron,1/5/2000,16.70%,-24.2,-4.6
115,Tim Albin,Ohio," $535,000 ",MAC,"$535,000 ",$0 ,"$535,000 ",$0 ,"$579,583 ",,115,Zak Hill,Arizona State,"$600,000 ",Pac-12,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Temple,1/6/2000,14.30%,-17.3,-9.4
116,Mike Neu,Ball State," $534,867 ",MAC,"$550,000 ","$20,133*","$529,867 ","$45,300*","$1,100,000 ",,116,Josh Henson,Texas A&M,"$600,000 ",SEC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,S Florida,1/8/2000,11.10%,-16.8,-5.2
117,Chris Creighton,Eastern Michigan," $515,000 ",MAC,"$515,000 ",$0*,"$515,000 ","$21,117*","$1,000,000 ",,117,Marvin Lewis,Arizona State,"$600,000 ",Pac-12,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Syracuse,1/10/2000,9.10%,-14.9,3.7
118,Sean Lewis,Kent State," $510,000 ",MAC,"$510,000 ",$0*,"$510,000 ",$0*,"$2,245,000 ",,118,Zach Arnett,Mississippi State,"$600,000 ",SEC,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,Bowling Grn,0-5-0,0.00%,-33.6,-13.3
119,Tom Arth,Akron," $496,083 ",MAC,"$500,000 ","$3,917*","$496,083 ","$47,000*","$648,853 ",,119,Jim Harding,Utah,"$600,000 ",Pac-12,"$600,000 ",$0 ,"$600,000 ",$0 ,—,,,,,,,,,,,,,U Mass,0-4-0,0.00%,-37.2,-1.5
120,Scot Loeffler,Bowling Green," $475,000 ",MAC,"$525,000 ","$50,000*","$475,000 ","$100,000*","$1,050,000 ",,120,Bob Diaco,Purdue,"$593,750 ",Big Ten,"$625,000 ","$31,250 ","$593,750 ","$93,750 ",—,,,,,,,,,,,,,N Illinois,0-6-0,0.00%,-13.8,-2.3
121,Doug Martin,New Mexico State," $437,000 ",INDEP,"$437,000 ",$0 ,"$437,000 ",$0 ,"$254,917 ",,121,Joseph Rossi,Minnesota,"$586,538 ",Big Ten,"$625,000 ","$38,462 ","$586,538 ","$62,500 ",—,,,,,,,,,,,,,LA Monroe,0-10-0,0.00%,-25.7,-9.4
122,Terry Bowden,UL Monroe," $430,000 ",S-Belt,"$430,000 ",$0*,"$430,000 ",$0*,"$175,000 ",,122,Mike Sanford Jr.,Minnesota,"$586,538 ",Big Ten,"$625,000 ","$38,462 ","$586,538 ","$62,500 ",—,,,,,,,,,,,,,UNLV,0-6-0,0.00%,-20.7,-5.4
123,Jeff Monken,Army, $- ,INDEP,—,—,—,—,—,,123,Courtney Messingham,Kansas State,"$580,729 ",Big 12,"$625,000 ","$44,271 ","$580,729 ","$62,500 ",—,,,,,,,,,,,,,Florida Intl,0-5-0,0.00%,-10,-8
124,James Franklin,Penn State, $- ,Big Ten,"$7,000,000 ",—,—,—,—,,124,Cale Gundy,Oklahoma,"$580,000 ",Big 12,"$580,000 ",$0 ,"$580,000 ",$0 ,—,,,,,,,,,,,,,Arizona,0-5-0,0.00%,-22.4,-12.1
125,Kalani Sitake,Brigham Young, $- ,INDEP,—,—,—,—,—,,125,David Yost,Texas Tech,"$577,708 ",Big 12,"$600,000 ","$22,292 ","$577,708 ","$53,500 ",—,,,,,,,,,,,,,Vanderbilt,0-9-0,0.00%,-22.6,-2.7
126,Manny Diaz,Miami, $- ,ACC,—,—,—,—,—,,126,Keith Patterson,Texas Tech,"$577,708 ",Big 12,"$600,000 ","$22,292 ","$577,708 ","$53,500 ",—,,,,,,,,,,,,,Kansas,0-9-0,0.00%,-30.2,-9.4
127,Jeff Hafley,Boston College, $- ,ACC,—,—,—,—,—,,127,Francis Brown,Rutgers,"$575,000 ",Big Ten,"$575,000 ",$0 ,"$575,000 ",$0 ,—,,,,,,,,,,,,,,,,,
128,Troy Calhoun,Air Force, $- ,MWC,—,—,—,—,—,,128,Tim Tibesar,Oregon State,"$574,200 ",Pac-12,"$600,000 ","$25,800 ","$574,200 ","$39,238 ",—,,,,,,,,,,,,,,,,,
129,Dave Aranda,Baylor, $- ,Big 12,—,—,—,—,—,,129,Jay Graham,Tennessee,"$571,042 ",SEC,"$575,000 ","$3,958 ","$571,042 ","$15,833 ",—,,,,,,,,,,,,,,,,,
130,Clark Lea,Vanderbilt, $- ,SEC,—,—,—,—,—,,130,Corey Raymond,Louisiana State,"$570,062 ",SEC,"$575,000 ","$7,188 ","$567,812 ","$29,688 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,131,Bob Gregory,Washington,"$564,941 ",Pac-12,"$575,004 ","$10,063 ","$564,941 ","$17,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,132,Bill Johnson,Louisiana State,"$564,625 ",SEC,"$571,500 ","$6,875 ","$564,625 ","$27,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,133,Jake Dickert,Washington State,"$563,750 ",Pac-12,"$615,000 ","$51,250 ","$563,750 ","$51,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,134,Brandon Streeter,Clemson,"$563,000 ",ACC,"$590,000 ","$29,500 ","$560,500 ","$59,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,135,John Papuchis,Florida State,"$561,750 ",ACC,"$570,000 ","$8,250 ","$561,750 ","$16,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,136,Keith Heyward,Oregon,"$561,250 ",Pac-12,"$600,000 ","$38,750 ","$561,250 ","$38,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,137,Cortez Hankton,Georgia,"$554,500 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,138,Coleman Hutzler,Texas,"$552,604 ",Big 12,"$600,000 ","$47,396 ","$552,604 ","$81,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,139,Brian Johnson,Florida,"$551,500 ",SEC,"$551,500 ",$0 ,"$551,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,140,Scott Cochran,Georgia,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,141,Joe Bob Clements,Oklahoma State,"$550,000 ",Big 12,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,142,Charles Huff,Alabama,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,143,Karl Scott,Alabama,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144,Charlie Dickey,Oklahoma State,"$550,000 ",Big 12,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,145,Brian Smith,Washington State,"$545,417 ",Pac-12,"$595,000 ","$49,583 ","$545,417 ","$49,583 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,146,Brian Hartline,Ohio State,"$540,833 ",Big Ten,"$550,000 ","$9,167 ","$540,833 ","$20,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,147,Odell Haggins,Florida State,"$540,375 ",ACC,"$550,000 ","$9,625 ","$540,375 ","$16,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,148,Shane Beamer,Oklahoma,"$540,000 ",Big 12,"$540,000 ",$0 ,"$540,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,149,Curtis Luper,Missouri,"$536,250 ",SEC,"$550,000 ","$13,750 ","$536,250 ","$13,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,150,Noel Mazzone,Arizona,"$535,000 ",Pac-12,"$600,000 ","$65,000 ","$535,000 ","$65,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,151,Gerad Parker,West Virginia,"$533,500 ",Big 12,"$551,000 ","$17,500 ","$533,500 ","$26,667 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,152,Terry Price,Texas A&M,"$533,333 ",SEC,"$533,333 ",$0 ,"$533,333 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,153,Darrin Chiaverini,Colorado,"$533,012 ",Pac-12,"$550,000 ","$17,188 ","$532,812 ","$27,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,154,Ron Burton,Michigan State,"$531,675 ",Big Ten,"$552,500 ","$20,825 ","$531,675 ","$35,700 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,155,Morgan Scalley,Utah,"$525,000 ",Pac-12,"$525,000 ",$0 ,"$525,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,156,Mike Reed,Clemson,"$520,250 ",ACC,"$545,000 ","$27,250 ","$517,750 ","$54,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,157,Alex Atkins,Florida State,"$520,000 ",ACC,"$520,000 ",$0 ,"$520,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,158,Chris Marve,Florida State,"$520,000 ",ACC,"$520,000 ",$0 ,"$520,000 ",$0 ,—,,,,,,,,,,,,,,,,,
